date,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
2015-07-08,18462.935546875,11021.7998046875,20168.55078125,8287.2998046875,12390.5,7572.14990234375,2166.800048828125,8820.4501953125,181.64999389648438,3301.89990234375,2202.699951171875,3310.800048828125,
2015-07-09,18508.484375,10828.7001953125,20031.75,8248.5498046875,12399.349609375,7578.35009765625,2159.75,8701.099609375,181.25,3336.5,2182.89990234375,3334.0,
2015-07-10,18719.583984375,10798.25,19887.94921875,8234.099609375,12537.25,7642.5,2179.89990234375,8743.849609375,179.60000610351562,3335.449951171875,2213.35009765625,3373.39990234375,
2015-07-13,18893.33203125,10998.849609375,20133.400390625,8370.75,12697.7998046875,7736.35009765625,2189.300048828125,8820.5498046875,181.14999389648438,3348.14990234375,2282.35009765625,3404.60009765625,
2015-07-14,18779.98046875,11043.849609375,20184.44921875,8305.7001953125,12786.599609375,7691.60009765625,2205.10009765625,8797.75,180.0500030517578,3351.050048828125,2299.75,3358.10009765625,
2015-07-15,18816.03125,11150.25,20251.44921875,8403.2001953125,12912.349609375,7729.25,2209.10009765625,8850.9501953125,181.0,3365.60009765625,2309.550048828125,3349.0,
2015-07-16,19167.828125,11191.599609375,20445.80078125,8434.5498046875,13060.349609375,7870.7998046875,2217.199951171875,8938.5,180.9499969482422,3384.199951171875,2332.39990234375,3387.89990234375,
2015-07-17,19094.4765625,11269.2001953125,20575.849609375,8473.900390625,13139.0,7807.75,2207.64990234375,8950.900390625,180.10000610351562,3407.550048828125,2336.949951171875,3380.949951171875,
2015-07-20,19032.478515625,11266.9501953125,20511.400390625,8476.349609375,13175.650390625,7778.5,2194.550048828125,8960.75,176.4499969482422,3403.10009765625,2366.5,3320.39990234375,
2015-07-21,18723.18359375,11655.4501953125,20143.05078125,8440.4501953125,12255.2998046875,7666.25,2169.89990234375,8803.5498046875,172.35000610351562,3382.75,2379.050048828125,3271.35009765625,
